X,Y,PL,RMS,PL^3,PL_reciprocal,RMS_PL_ratio,PL_log,PL_squared_RMS
-2265,-851,63.3,8.84,253636.14,0.02,0.14,4.15,35420.91
-1776,-713,63.0,8.22,250047.0,0.02,0.13,4.14,32625.18
-1664,-1262,64.9,9.52,273359.45,0.02,0.15,4.17,40098.34
-1322,-1368,62.8,8.13,247673.15,0.02,0.13,4.14,32063.42
-1199,-1007,63.4,8.69,254840.1,0.02,0.14,4.15,34929.98
-1019,-1303,63.3,8.46,253636.14,0.02,0.13,4.15,33898.29
-1133,-943,62.7,8.47,246491.88,0.02,0.14,4.14,33298.03
-1341,-1204,62.9,8.17,248858.19,0.02,0.13,4.14,32323.87
-1802,-1148,63.4,8.76,254840.1,0.02,0.14,4.15,35211.35
-1340,-961,62.6,8.03,245314.38,0.02,0.13,4.14,31467.64
-1770,-916,62.7,8.29,246491.88,0.02,0.13,4.14,32590.39
-2059,-1257,62.1,7.82,239483.06,0.02,0.13,4.13,30157.13
-1494,-1093,64.8,9.86,272097.79,0.02,0.15,4.17,41402.53
-1138,-1147,62.6,8.0,245314.38,0.02,0.13,4.14,31350.08
-1071,-855,63.0,8.69,250047.0,0.02,0.14,4.14,34490.61
-1345,-1324,63.3,8.44,253636.14,0.02,0.13,4.15,33818.15
-1877,-1116,63.4,8.67,254840.1,0.02,0.14,4.15,34849.59
-2245,-891,63.2,8.96,252435.97,0.02,0.14,4.15,35788.39
-2012,-1228,62.7,8.33,246491.88,0.02,0.13,4.14,32747.65
-2421,-1234,61.4,7.29,231475.54,0.02,0.12,4.12,27483.01
-2370,-852,62.4,8.21,242970.62,0.02,0.13,4.13,31967.77
-2500,-1387,61.8,7.71,236029.03,0.02,0.12,4.12,29446.34
