,r,PL,RMS,source_file,PL_RMS_ratio,RMS_PL_ratio,PL_RMS_product,PL_RMS_diff,PL_RMS_abs_diff,PL_squared,RMS_squared,PL_sqrt,RMS_sqrt,PL_log,RMS_log,PL_exp,RMS_exp,PL_group_mean,PL_group_std,PL_normalized,RMS_group_mean,RMS_group_std,RMS_normalized,interaction_H_H,interaction_H_L,interaction_H_M,interaction_H_VH,interaction_L_H,interaction_L_L,interaction_L_M,interaction_L_VL,interaction_M_H,interaction_M_L,interaction_M_M,interaction_M_VH,interaction_M_VL,interaction_VH_H,interaction_VH_M,interaction_VH_VH,interaction_VL_H,interaction_VL_L,interaction_VL_M,interaction_VL_VL
114,1260.510,63.300,9.060,FCPR-D1_CIR.csv,6.987,0.143,573.498,54.240,54.240,4006.890,82.084,7.956,3.010,4.164,2.309,1.883,2.474,63.069,0.782,0.295,8.650,0.574,0.714,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
115,1427.450,64.000,9.300,FCPR-D1_CIR.csv,6.882,0.145,595.200,54.700,54.700,4096.000,86.490,8.000,3.050,4.174,2.332,1.896,2.535,63.069,0.782,1.191,8.650,0.574,1.132,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
116,1159.830,63.200,8.450,FCPR-D1_CIR.csv,7.479,0.134,534.040,54.750,54.750,3994.240,71.402,7.950,2.907,4.162,2.246,1.881,2.328,63.069,0.782,0.168,8.650,0.574,-0.348,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
117,1168.820,62.800,8.180,FCPR-D1_CIR.csv,7.677,0.130,513.704,54.620,54.620,3943.840,66.912,7.925,2.860,4.156,2.217,1.874,2.266,63.069,0.782,-0.344,8.650,0.574,-0.819,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
118,1692.200,63.600,8.900,FCPR-D1_CIR.csv,7.146,0.140,566.040,54.700,54.700,4044.960,79.210,7.975,2.983,4.168,2.293,1.889,2.435,63.069,0.782,0.679,8.650,0.574,0.436,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
119,1801.040,63.600,9.000,FCPR-D1_CIR.csv,7.067,0.142,572.400,54.600,54.600,4044.960,81.000,7.975,3.000,4.168,2.303,1.889,2.460,63.069,0.782,0.679,8.650,0.574,0.610,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
120,1640.320,63.400,8.610,FCPR-D1_CIR.csv,7.364,0.136,545.874,54.790,54.790,4019.560,74.132,7.962,2.934,4.165,2.263,1.885,2.366,63.069,0.782,0.423,8.650,0.574,-0.070,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
121,1979.470,64.200,9.120,FCPR-D1_CIR.csv,7.039,0.142,585.504,55.080,55.080,4121.640,83.174,8.012,3.020,4.177,2.315,1.900,2.489,63.069,0.782,1.446,8.650,0.574,0.819,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
122,1775.650,63.400,8.860,FCPR-D1_CIR.csv,7.156,0.140,561.724,54.540,54.540,4019.560,78.500,7.962,2.977,4.165,2.288,1.885,2.425,63.069,0.782,0.423,8.650,0.574,0.366,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
123,2134.330,63.700,8.940,FCPR-D1_CIR.csv,7.125,0.140,569.478,54.760,54.760,4057.690,79.924,7.981,2.990,4.170,2.297,1.891,2.445,63.069,0.782,0.807,8.650,0.574,0.505,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
124,2089.070,63.700,8.970,FCPR-D1_CIR.csv,7.101,0.141,571.389,54.730,54.730,4057.690,80.461,7.981,2.995,4.170,2.300,1.891,2.452,63.069,0.782,0.807,8.650,0.574,0.557,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
125,2526.440,62.700,8.240,FCPR-D1_CIR.csv,7.609,0.131,516.648,54.460,54.460,3931.290,67.898,7.918,2.871,4.154,2.224,1.872,2.280,63.069,0.782,-0.472,8.650,0.574,-0.714,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
126,2321.750,63.900,8.960,FCPR-D1_CIR.csv,7.132,0.140,572.544,54.940,54.940,4083.210,80.282,7.994,2.993,4.173,2.299,1.895,2.450,63.069,0.782,1.063,8.650,0.574,0.540,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
127,1827.250,62.700,8.030,FCPR-D1_CIR.csv,7.808,0.128,503.481,54.670,54.670,3931.290,64.481,7.918,2.834,4.154,2.201,1.872,2.232,63.069,0.782,-0.472,8.650,0.574,-1.080,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
128,2252.640,64.200,9.290,FCPR-D1_CIR.csv,6.911,0.145,596.418,54.910,54.910,4121.640,86.304,8.012,3.048,4.177,2.331,1.900,2.532,63.069,0.782,1.446,8.650,0.574,1.115,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
129,2067.880,64.000,9.220,FCPR-D1_CIR.csv,6.941,0.144,590.080,54.780,54.780,4096.000,85.008,8.000,3.036,4.174,2.324,1.896,2.514,63.069,0.782,1.191,8.650,0.574,0.993,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
130,1499.240,64.700,9.850,FCPR-D1_CIR.csv,6.569,0.152,637.295,54.850,54.850,4186.090,97.022,8.044,3.138,4.185,2.384,1.910,2.678,63.069,0.782,2.086,8.650,0.574,2.091,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
